Restaurant,Borough,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
C.M. COFFEE SHOP,Brooklyn,340,STANHOPE STREET,11237,7183810262,American,1/25/2024,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13,A,1/25/2024,4/22/2026,Cycle Inspection / Re-inspection,40.70371186,-73.91744353,304,37,044300,3074570,3032710008,BK77,POINT (-73.917443527391 40.703711859408)
LA BAGUETTE SHOP,Brooklyn,7915,FLATLANDS AVENUE,11236,7186761790,Bakery Products/Desserts,8/9/2022,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,19,B,8/9/2022,4/22/2026,Cycle Inspection / Re-inspection,40.63513368,-73.9138609,318,46,095000,3224225,3080000001,BK50,POINT (-73.913860899269 40.635133683056)
INDAY,Manhattan,1133,BROADWAY,10010,3322754410,Indian,2/6/2026,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,9,A,2/6/2026,4/22/2026,Cycle Inspection / Initial Inspection,40.74351547,-73.98907248,105,03,005800,1015625,1008270049,MN13,POINT (-73.989072482032 40.743515474188)
53,Manhattan,53,WEST   53 STREET,10019,2015665770,Asian/Asian Fusion,3/26/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,3/26/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.76141525,-73.97820404,105,04,010400,1090777,1012697502,MN17,POINT (-73.978204044229 40.761415251439)
PARK SLOPE ALE HOUSE,Brooklyn,356,6 AVENUE,11215,7187881756,American,12/10/2024,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,20,B,12/10/2024,4/22/2026,Cycle Inspection / Re-inspection,40.67053661,-73.98186035,306,39,013500,3341910,3009850052,BK37,POINT (-73.981860345891 40.670536613424)
M & W BAKERY,Manhattan,25,EAST BROADWAY,10002,2122850918,Bakery Products/Desserts,5/21/2024,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,21,B,5/21/2024,4/22/2026,Cycle Inspection / Re-inspection,40.71350742,-73.99662367,103,01,000800,1003428,1002800048,MN27,POINT (-73.996623667683 40.713507421349)
MIKE'S DELI,Brooklyn,9510,4 AVENUE,11209,7182385200,American,11/22/2022,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,11/22/2022,4/22/2026,Cycle Inspection / Re-inspection,40.61564365,-74.03124274,310,47,005400,3155635,3061170134,BK31,POINT (-74.031242741301 40.615643653446)
VESUVIO BAKERY,Manhattan,160,PRINCE STREET,10012,6468690090,Bakery Products/Desserts,11/16/2023,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,13,A,11/16/2023,4/22/2026,Cycle Inspection / Initial Inspection,40.72597145,-74.00133491,102,01,004900,1084916,1005020016,MN24,POINT (-74.001334911865 40.725971453002)
LINDA'S ASIAN KITCHEN,Brooklyn,1072,DEKALB AVENUE,11221,7185741686,Chinese,7/13/2023,Violations were cited in the following area(s).,08B,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",Not Critical,10,A,7/13/2023,4/22/2026,Pre-permit (Operational) / Re-inspection,40.69360136,-73.93186252,303,36,028900,3043273,3016030032,BK35,POINT (-73.931862515557 40.693601357589)
TORIBIO RESTAURANT,Brooklyn,3169,FULTON STREET,11208,7182351012,Spanish,4/17/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,4/17/2023,4/22/2026,Cycle Inspection / Initial Inspection,40.6819547,-73.8781636,305,37,117400,3091995,3041240041,BK83,POINT (-73.878163603774 40.681954695421)
1 STOP PATTY SHOP,Manhattan,1708,AMSTERDAM AVENUE,10031,2124917466,Bakery Products/Desserts,12/4/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,B,12/4/2023,4/22/2026,Cycle Inspection / Re-inspection,40.8248696,-73.94787883,109,07,022900,1084345,1020760031,MN04,POINT (-73.947878825434 40.824869602416)
TACOS SAN LUCAS II,Bronx,114,EAST BURNSIDE AVENUE,10453,9292857043,Mexican,8/26/2024,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,27,B,8/26/2024,4/22/2026,Cycle Inspection / Re-inspection,40.85296212,-73.90515887,205,14,024100,2007669,2028070059,BX41,POINT (-73.905158873485 40.852962119416)
MR N SEAFOOD,Bronx,351,EAST  138 STREET,10454,3473404910,Seafood,9/18/2023,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,21,B,9/18/2023,4/22/2026,Cycle Inspection / Re-inspection,40.80973299,-73.9243702,201,08,003900,2000606,2023010044,BX39,POINT (-73.92437020044 40.809732989678)
BELLA ROMA PIZZA,Brooklyn,7022,3 AVENUE,11209,9176234300,Pizza,9/26/2025,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,11,A,9/26/2025,4/22/2026,Cycle Inspection / Re-inspection,40.63465523,-74.02648142,310,43,006800,3146341,3058860044,BK31,POINT (-74.026481417956 40.634655226517)
MR C'S  BAKERY,Brooklyn,5101,CHURCH AVENUE,11203,3479636788,Bakery Products/Desserts,1/3/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,1/3/2025,4/22/2026,Cycle Inspection / Re-inspection,40.65197523,-73.92925996,317,41,086800,3102178,3046770042,BK96,POINT (-73.929259963637 40.651975232117)
COFFEE + COCKTAILS / LE COIN NYC / SAISHIN,Manhattan,18,9 AVENUE,10014,6462532290,French,2/13/2025,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,20,B,2/13/2025,4/22/2026,Cycle Inspection / Re-inspection,40.74010684,-74.00596147,102,03,007900,1087054,1006280004,MN23,POINT (-74.005961470456 40.740106844318)
HILLSIDE DOSA HUTT,Queens,258-15,HILLSIDE AVENUE,11004,7184144780,Vegetarian,11/9/2022,Violations were cited in the following area(s).,10H,"Single service article not provided.  Single service article reused or not protected from contamination when transported, stored, dispensed.  Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,13,A,11/9/2022,4/22/2026,Cycle Inspection / Initial Inspection,40.73699544,-73.7099002,413,23,157902,4179347,4087700001,QN44,POINT (-73.70990019862 40.736995437221)
PIES $ FRIES,Brooklyn,1999,MCDONALD AVENUE,11223,3475548114,Jewish/Kosher,11/14/2022,Violations were cited in the following area(s).,10C,"Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms. Shatterproof bulb or shield to prevent broken glass from falling into food or onto surfaces, not installed.",Not Critical,36,C,11/14/2022,4/22/2026,Pre-permit (Operational) / Re-inspection,40.6038502,-73.9722344,315,44,041401,3329224,3066810104,BK25,POINT (-73.972234399308 40.603850204788)
ALWAHA RESTAURANT,Bronx,1907,WHITE PLAINS ROAD,10462,6462035292,Middle Eastern,2/11/2026,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,2/11/2026,4/22/2026,Cycle Inspection / Initial Inspection,40.84761622,-73.86721793,211,13,023000,2095011,2042540001,BX37,POINT (-73.867217928977 40.847616224826)
AROMA COFFEE DELI,Brooklyn,7514,13 AVENUE,11228,3477132427,Sandwiches/Salads/Mixed Buffet,2/16/2023,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,2/16/2023,4/22/2026,Cycle Inspection / Re-inspection,40.62015186,-74.00759329,310,38,020000,3159959,3062210044,BK30,POINT (-74.007593285991 40.620151855487)
SHAH'S HALAL FOOD,Queens,30-19,30 AVENUE,11102,9175798293,Middle Eastern,12/11/2024,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,11,A,12/11/2024,4/22/2026,Pre-permit (Operational) / Re-inspection,40.76716577,-73.92197107,401,22,007100,4007681,4005950003,QN71,POINT (-73.921971070004 40.767165766458)
TRUCK STOP KITCHEN,Queens,245-01,FRANCIS LEWIS BOULEVARD,11422,7183169720,Caribbean,3/23/2026,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,13,A,3/23/2026,4/22/2026,Cycle Inspection / Re-inspection,40.66483254,-73.7349462,413,31,065400,4289364,4136140001,QN05,POINT (-73.734946199782 40.664832540499)
MEXICAN TACO RICO,Bronx,264,EAST GUN HILL ROAD,10467,6468417026,Mexican,6/13/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,6/13/2024,4/22/2026,Pre-permit (Operational) / Initial Inspection,40.87965933,-73.87556146,207,11,042300,2018219,2033430201,BX43,POINT (-73.875561459266 40.8796593251)
GOLDEN DRAGON KITCHEN,Queens,34-06,31 AVENUE,11106,7187778251,Chinese,6/13/2024,Violations were cited in the following area(s).,09A,"Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE",Critical,9,A,6/13/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.76311379,-73.92093258,401,22,006100,4008964,4006240040,QN70,POINT (-73.920932576817 40.763113792388)
CHIPOTLE MEXICAN GRILL,Manhattan,234,5 AVENUE,10001,2125320372,Tex-Mex,11/3/2025,Violations were cited in the following area(s).,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,6,A,11/3/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.74415486,-73.98769018,105,02,005800,1015686,1008290035,MN13,POINT (-73.987690183978 40.74415486383)
MODERN TEA & SALAD,Manhattan,302,WEST   39 STREET,10018,6468526868,Coffee/Tea,12/16/2025,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,A,12/16/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.75551304,-73.99165128,104,03,011500,1013646,1007620042,MN15,POINT (-73.991651281711 40.755513041191)
SAPORI RISTORANTE,Staten Island,3800,RICHMOND AVENUE,10312,7182100388,Italian,3/28/2026,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,12,A,3/28/2026,4/22/2026,Cycle Inspection / Initial Inspection,40.54527502,-74.1657131,503,51,017011,5073922,5055910042,SI01,POINT (-74.16571309997 40.545275017584)
LILY'S CAFE RESTAURANT,Bronx,53,EAST  167 STREET,10452,6464045480,Latin American,2/16/2022,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,10,A,2/16/2022,4/22/2026,Cycle Inspection / Initial Inspection,40.83553385,-73.92070885,204,16,019700,2003013,2024890033,BX63,POINT (-73.920708853122 40.83553384668)
EL CAMPEON DE LOS POLLOS 2,Queens,103-09,101 AVENUE,11416,7184801552,Latin American,8/8/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,8/8/2025,4/22/2026,Cycle Inspection / Re-inspection,40.68604381,-73.83974812,409,29,011600,4197732,4094050034,QN54,POINT (-73.839748123366 40.686043807579)
THE CLONARD,Brooklyn,506,GRAND STREET,11211,7187342825,Irish,8/12/2025,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,13,A,8/12/2025,4/22/2026,Cycle Inspection / Re-inspection,40.71098266,-73.95069516,301,34,051300,3323029,3027850005,BK73,POINT (-73.950695155895 40.710982663048)
HUNGRY GHOST,Brooklyn,781,FULTON STREET,11217,7187973595,Coffee/Tea,12/20/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,12,A,12/20/2022,4/22/2026,Cycle Inspection / Initial Inspection,40.68594965,-73.97352698,302,35,018100,3059331,3021170033,BK68,POINT (-73.973526978508 40.685949651894)
TING HUA,Brooklyn,351,SMITH STREET,11231,7188526287,Chinese,8/16/2023,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,12,A,8/16/2023,4/22/2026,Pre-permit (Operational) / Initial Inspection,40.67993606,-73.99504983,306,39,007700,3007557,3004500007,BK33,POINT (-73.995049827337 40.679936055565)
SANGARITA'S,Queens,40-02,BELL BOULEVARD,11361,7184282727,Tapas,12/12/2025,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,12,A,12/12/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.76414551,-73.77127718,411,19,112300,4137556,4062370027,QN46,POINT (-73.771277184967 40.764145510241)
MAMA'S EMPANADAS,Queens,91-20,59 AVENUE,11373,7184292502,Latin American,11/18/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,11/18/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.73394519,-73.86977268,404,25,068300,4559041,4018610001,QN29,POINT (-73.869772677001 40.733945193767)
EL MONUMENTO,Brooklyn,1185,BROADWAY,11221,7184503380,Caribbean,4/22/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,11,A,4/22/2024,4/22/2026,Cycle Inspection / Re-inspection,40.6925144,-73.92734885,304,34,039500,3074307,3032630003,BK78,POINT (-73.927348851405 40.692514400408)
CHIPOTLE MEXICAN GRILL,Manhattan,117,EAST   14 STREET,10003,2122600641,Tex-Mex,11/18/2025,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,13,A,11/18/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.73407348,-73.98903074,105,02,005000,1083247,1008707501,MN21,POINT (-73.989030736717 40.734073483813)
BAO HOUSE,Brooklyn,5103,8 AVENUE,11220,7187584777,Chinese,1/14/2026,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,16,B,1/14/2026,4/22/2026,Cycle Inspection / Re-inspection,40.64045244,-74.00438153,312,43,010800,3138135,3056510009,BK34,POINT (-74.004381525463 40.640452438797)
RANDY'S,Queens,1693,PUTNAM AVENUE,11385,7183811198,Chinese,1/8/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,1/8/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.70019863,-73.9068088,405,34,055100,4082449,4034510024,QN20,POINT (-73.90680880349 40.700198634374)
IZAKAYA RYUJIN,Brooklyn,513,GRAND STREET,11211,7187099888,Japanese,5/14/2024,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,10,A,5/14/2024,4/22/2026,Cycle Inspection / Re-inspection,40.71101825,-73.95048231,301,34,051300,3069337,3027790047,BK73,POINT (-73.950482313046 40.711018253346)
NEW YORK LAW SCHOOL,Manhattan,185,WEST BROADWAY,10013,2124312877,American,5/13/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,5/13/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.71816787,-74.00711388,101,01,003300,1001967,1001760018,MN24,POINT (-74.007113883226 40.718167867208)
MAGGIE MAE'S,Queens,41-15,QUEENS BOULEVARD,11104,7184333067,American,8/22/2024,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.",Not Critical,18,B,8/22/2024,4/22/2026,Cycle Inspection / Re-inspection,40.74367412,-73.92310299,402,26,018102,4002451,4001880005,QN31,POINT (-73.923102992406 40.743674124042)
DOCK ASIAN EATERY,Brooklyn,22,WYCKOFF AVENUE,11237,7188210688,Asian/Asian Fusion,4/4/2023,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13,A,4/4/2023,4/22/2026,Cycle Inspection / Re-inspection,40.7064026,-73.92261595,304,34,044700,3331363,3031880138,BK77,POINT (-73.922615951997 40.706402598373)
BLANK STREET,Manhattan,826,7 AVENUE,10019,9175103862,Coffee/Tea,10/25/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,10/25/2023,4/22/2026,Pre-permit (Operational) / Initial Inspection,40.76311488,-73.98179172,105,03,013100,1024836,1010250025,MN17,POINT (-73.981791716322 40.763114881946)
TASTE OF PUNJAB,Queens,95-04,VAN WYCK EXPRESSWAY,11419,3473028579,Indian,10/31/2022,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual.  Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,27,B,10/31/2022,4/22/2026,Cycle Inspection / Re-inspection,40.69609093,-73.81335135,409,29,015200,4200383,4094820116,QN54,POINT (-73.81335134656 40.696090930974)
THE LOT RADIO KIOSK,Brooklyn,17,NASSAU AVENUE,11222,3474466553,Coffee/Tea,6/23/2023,Violations were cited in the following area(s).,05E,"Toilet facility not provided for employees or for patrons when required. Shared patron-employee toilet accessed through kitchen, food prep or storage area or utensil washing area.",Critical,38,C,6/23/2023,4/22/2026,Cycle Inspection / Re-inspection,40.72271516,-73.95396584,301,33,056900,3065937,3026400001,BK76,POINT (-73.953965835918 40.722715163631)
LA COCINA DE MAMA,Queens,56-13,METROPOLITAN AVENUE,11385,7184174000,Latin American,12/15/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,12/15/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.71294259,-73.90678731,405,30,059500,4059475,4026460017,QN20,POINT (-73.906787310041 40.712942592678)
MAMAN,Manhattan,1424,3 AVENUE,10028,6464767660,Coffee/Tea,2/8/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,2/8/2024,4/22/2026,Cycle Inspection / Re-inspection,40.77541282,-73.95647832,108,05,014000,1047526,1015090039,MN40,POINT (-73.956478321047 40.775412817718)
WOK IN THE CLOUDS,Manhattan,127,EAST   28 STREET,10016,2127846498,Indian,1/25/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,17,B,1/25/2024,4/22/2026,Cycle Inspection / Re-inspection,40.74277636,-73.98276084,105,02,007200,1018206,1008840016,MN20,POINT (-73.982760841413 40.742776358305)
ABBY'S COFFEE SHOP,Brooklyn,7310,20 AVENUE,11204,3473745342,American,4/17/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,4/17/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.61187895,-73.99069686,311,43,026800,3159166,3062060036,BK28,POINT (-73.990696860662 40.611878947605)
LA COLOMBIANITA BAKERY,Queens,108-37,CORONA AVENUE,11368,7183930063,Bakery Products/Desserts,1/19/2023,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area.  Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,42,C,1/19/2023,4/22/2026,Cycle Inspection / Re-inspection,40.74249549,-73.85409744,404,21,042700,4443008,4020090079,QN25,POINT (-73.854097435139 40.742495491631)
RED PIPES CAFE,Queens,71-60,AUSTIN STREET,11375,7183743436,Coffee/Tea,8/28/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,8/28/2024,4/22/2026,Cycle Inspection / Re-inspection,40.7195623,-73.84320981,406,29,073700,4077922,4032550033,QN17,POINT (-73.843209811061 40.719562302818)
TAIWAN PORK CHOP HOUSE,Manhattan,3,DOYERS STREET,10013,2127917007,Chinese,10/12/2022,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,12,A,10/12/2022,4/22/2026,Cycle Inspection / Initial Inspection,40.71425128,-73.9978573,103,01,002900,1001703,1001620033,MN27,POINT (-73.997857303563 40.714251283387)
UNIK PIZZA,Manhattan,418,EAST   14 STREET,10009,9179326265,Pizza,9/11/2024,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,31,C,9/11/2024,4/22/2026,Pre-permit (Operational) / Re-inspection,40.73089133,-73.98145057,103,02,003400,1006014,1004410016,MN22,POINT (-73.981450565973 40.730891325973)
LIFE TIME,Manhattan,250,WEST   34 STREET,10119,3322630900,"Juice, Smoothies, Fruit Salads",5/8/2024,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,5/8/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.75176376,-73.9924891,105,03,010100,1014387,1007830070,MN17,POINT (-73.992489104561 40.751763756879)
SIMPSON THACHER AND BARTLET CAFE,Manhattan,425,LEXINGTON AVENUE,10017,2124552534,American,4/10/2024,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,5,A,4/10/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.75241735,-73.97531955,106,04,009200,1036162,1012980023,MN19,POINT (-73.975319553347 40.75241734621)
ESSENTIAL BY CHRISTOPHE,Manhattan,103,WEST   77 STREET,10024,6464787928,French,4/9/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,11,A,4/9/2025,4/22/2026,Pre-permit (Operational) / Initial Inspection,40.78084786,-73.97688331,107,06,016100,1030210,1011490030,MN12,POINT (-73.976883307558 40.780847864204)
SAM LEE KITCHEN,Queens,21-08,36 AVENUE,11106,7183929329,Chinese,3/4/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,3/4/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.7597804,-73.9366063,401,26,003300,4004269,4003480019,QN68,POINT (-73.936606297856 40.759780404228)
JOE & THE JUICE GREENWICH ST,Manhattan,295,GREENWICH STREET,10007,9294342330,Coffee/Tea,9/27/2022,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,65,C,9/27/2022,4/22/2026,Cycle Inspection / Re-inspection,40.71600194,-74.01101678,101,01,002100,1066187,1001377502,MN24,POINT (-74.011016780261 40.716001936603)
PANDA ABC,Brooklyn,4621,AVENUE D,11203,7186293032,Chinese,8/11/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,22,B,8/11/2025,4/22/2026,Cycle Inspection / Re-inspection,40.64191234,-73.93294965,317,45,084000,3112290,3049630041,BK91,POINT (-73.9329496509 40.641912337097)
SOOM SOOM,Manhattan,1108,LEXINGTON AVENUE,10075,2125955050,Mediterranean,5/30/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,5/30/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.77393181,-73.9596529,108,04,014000,1085163,1014120057,MN40,POINT (-73.959652903485 40.773931809705)
